run_id,scenario,status,start_time,end_time,duration_seconds,requested_instances,deployment_id,recovery_id,healthy_count,unhealthy_count,notes
run20260411-145553-1,base_deploy_1,success,2026-04-11T14:55:53-04:00,2026-04-11T14:56:29-04:00,36,1,dep-20260411185553-f1e0af1a,,0,1,base deployment to 1 instance
run20260411-145629-1,scale_up_5,success,2026-04-11T14:56:29-04:00,2026-04-11T14:57:07-04:00,38,5,dep-20260411185629-8b364c4f,,0,5,scaled up to 5
run20260411-145707-1,scale_down_1,success,2026-04-11T14:57:07-04:00,2026-04-11T14:57:41-04:00,34,1,dep-20260411185707-0b812d4d,,0,1,scaled down to 1
run20260411-145741-1,kill_and_recover_app3,failed,2026-04-11T14:57:41-04:00,2026-04-11T14:58:20-04:00,39,5,dep-20260411185741-bf2d0d91,rec-20260411185819-fe6e66a2,0,5,killed app3 and recovered
run20260411-145820-2,base_deploy_1,success,2026-04-11T14:58:20-04:00,2026-04-11T14:59:10-04:00,50,1,dep-20260411185820-150c82a4,,0,1,base deployment to 1 instance
run20260411-145910-2,scale_up_5,success,2026-04-11T14:59:11-04:00,2026-04-11T14:59:58-04:00,47,5,dep-20260411185911-879fb70a,,0,5,scaled up to 5
run20260411-145958-2,scale_down_1,success,2026-04-11T14:59:58-04:00,2026-04-11T15:00:41-04:00,43,1,dep-20260411185958-5a28eacb,,0,1,scaled down to 1
run20260411-150041-2,kill_and_recover_app3,failed,2026-04-11T15:00:41-04:00,2026-04-11T15:01:31-04:00,50,5,dep-20260411190041-3f6300ac,rec-20260411190129-31ef3313,0,5,killed app3 and recovered
run20260411-150131-3,base_deploy_1,success,2026-04-11T15:01:31-04:00,2026-04-11T15:02:15-04:00,44,1,dep-20260411190131-9248efdc,,0,1,base deployment to 1 instance
run20260411-150215-3,scale_up_5,success,2026-04-11T15:02:15-04:00,2026-04-11T15:02:52-04:00,37,5,dep-20260411190215-2c638b90,,0,5,scaled up to 5
run20260411-150252-3,scale_down_1,success,2026-04-11T15:02:52-04:00,2026-04-11T15:03:31-04:00,39,1,dep-20260411190252-164ba0bb,,0,1,scaled down to 1
run20260411-150331-3,kill_and_recover_app3,failed,2026-04-11T15:03:31-04:00,2026-04-11T15:04:20-04:00,49,5,dep-20260411190331-4393c3b1,rec-20260411190418-50e4593f,0,5,killed app3 and recovered
run20260411-150420-4,base_deploy_1,success,2026-04-11T15:04:20-04:00,2026-04-11T15:05:06-04:00,46,1,dep-20260411190420-26078cf0,,0,1,base deployment to 1 instance
run20260411-150506-4,scale_up_5,success,2026-04-11T15:05:06-04:00,2026-04-11T15:05:55-04:00,49,5,dep-20260411190506-b1e70214,,0,5,scaled up to 5
run20260411-150555-4,scale_down_1,success,2026-04-11T15:05:55-04:00,2026-04-11T15:06:34-04:00,39,1,dep-20260411190555-2879bdd6,,0,1,scaled down to 1
run20260411-150634-4,kill_and_recover_app3,failed,2026-04-11T15:06:34-04:00,2026-04-11T15:07:15-04:00,41,5,dep-20260411190634-a32c1744,rec-20260411190714-a2540428,0,5,killed app3 and recovered
run20260411-150715-5,base_deploy_1,success,2026-04-11T15:07:15-04:00,2026-04-11T15:07:55-04:00,40,1,dep-20260411190715-0b5e007b,,0,1,base deployment to 1 instance
run20260411-150755-5,scale_up_5,success,2026-04-11T15:07:56-04:00,2026-04-11T15:08:45-04:00,49,5,dep-20260411190756-a573cccc,,0,5,scaled up to 5
run20260411-150845-5,scale_down_1,success,2026-04-11T15:08:45-04:00,2026-04-11T15:09:33-04:00,48,1,dep-20260411190845-363fc7ac,,0,1,scaled down to 1
run20260411-150933-5,kill_and_recover_app3,failed,2026-04-11T15:09:33-04:00,2026-04-11T15:10:17-04:00,44,5,dep-20260411190933-62eb268d,rec-20260411191015-eb82fd12,0,5,killed app3 and recovered
