run_id,scenario,status,start_time,end_time,duration_seconds,requested_instances,deployment_id,recovery_id,healthy_count,unhealthy_count,notes
test1,base_deploy_1,success,2026-04-11T10:46:26-04:00,2026-04-11T10:46:59-04:00,33,1,dep-20260411144626-c1ef8e07,,0,1,base deployment to 1 instance
run20260411-115207-1,base_deploy_1,success,2026-04-11T11:52:07-04:00,2026-04-11T11:52:55-04:00,48,1,dep-20260411155207-13e73f9e,,0,1,base deployment to 1 instance
run20260411-115255-1,scale_up_5,success,2026-04-11T11:52:55-04:00,2026-04-11T11:53:58-04:00,63,5,dep-20260411155255-9626418a,,0,5,scaled up to 5
run20260411-115358-1,scale_down_1,success,2026-04-11T11:53:58-04:00,2026-04-11T11:55:03-04:00,65,1,dep-20260411155358-80fc8da1,,0,1,scaled down to 1
run20260411-120111-1,base_deploy_1,success,2026-04-11T12:01:11-04:00,2026-04-11T12:01:54-04:00,43,1,dep-20260411160111-7e0f88c9,,0,1,base deployment to 1 instance
run20260411-120154-1,scale_up_5,success,2026-04-11T12:01:54-04:00,2026-04-11T12:02:58-04:00,64,5,dep-20260411160154-c914b34b,,0,5,scaled up to 5
run20260411-120258-1,scale_down_1,success,2026-04-11T12:02:58-04:00,2026-04-11T12:04:00-04:00,62,1,dep-20260411160258-322b341b,,0,1,scaled down to 1
run20260411-120400-1,kill_and_recover_app3,failed,2026-04-11T12:04:00-04:00,2026-04-11T12:05:06-04:00,66,5,dep-20260411160400-c71e3f9f,rec-20260411160503-fb1afe95,0,5,killed app3 and recovered
run20260411-120537-1,base_deploy_1,success,2026-04-11T12:05:37-04:00,2026-04-11T12:06:55-04:00,78,1,dep-20260411160537-3d2a8338,,0,1,base deployment to 1 instance
run20260411-120655-1,scale_up_5,success,2026-04-11T12:06:56-04:00,2026-04-11T12:08:15-04:00,79,5,dep-20260411160656-11a0cd3e,,0,5,scaled up to 5
run20260411-120815-1,scale_down_1,success,2026-04-11T12:08:15-04:00,2026-04-11T12:09:10-04:00,55,1,dep-20260411160815-4ff821c2,,0,1,scaled down to 1
run20260411-120910-1,kill_and_recover_app3,failed,2026-04-11T12:09:10-04:00,2026-04-11T12:10:21-04:00,71,5,dep-20260411160910-ef67a7fa,rec-20260411161018-8724e959,0,5,killed app3 and recovered
run20260411-121021-2,base_deploy_1,success,2026-04-11T12:10:21-04:00,2026-04-11T12:11:45-04:00,84,1,dep-20260411161021-4c98997b,,0,1,base deployment to 1 instance
run20260411-121145-2,scale_up_5,success,2026-04-11T12:11:45-04:00,2026-04-11T12:13:03-04:00,78,5,dep-20260411161145-79a64c89,,0,5,scaled up to 5
run20260411-121303-2,scale_down_1,success,2026-04-11T12:13:03-04:00,2026-04-11T12:13:59-04:00,56,1,dep-20260411161303-ae1d9e1a,,0,1,scaled down to 1
run20260411-121359-2,kill_and_recover_app3,failed,2026-04-11T12:13:59-04:00,2026-04-11T12:14:56-04:00,57,5,dep-20260411161359-2b5816cc,rec-20260411161454-2aea8cd0,0,5,killed app3 and recovered
run20260411-121456-3,base_deploy_1,success,2026-04-11T12:14:56-04:00,2026-04-11T12:15:59-04:00,63,1,dep-20260411161456-2c47399d,,0,1,base deployment to 1 instance
run20260411-121559-3,scale_up_5,success,2026-04-11T12:15:59-04:00,2026-04-11T12:17:04-04:00,65,5,dep-20260411161559-ce9edf5d,,0,5,scaled up to 5
run20260411-121704-3,scale_down_1,success,2026-04-11T12:17:04-04:00,2026-04-11T12:17:58-04:00,54,1,dep-20260411161704-73e85f29,,0,1,scaled down to 1
run20260411-121758-3,kill_and_recover_app3,failed,2026-04-11T12:17:58-04:00,2026-04-11T12:19:09-04:00,71,5,dep-20260411161758-38882362,rec-20260411161906-da516768,0,5,killed app3 and recovered
run20260411-125014-1,base_deploy_1,success,2026-04-11T12:50:14-04:00,2026-04-11T12:51:31-04:00,77,1,dep-20260411165014-a31d48eb,,0,1,base deployment to 1 instance
run20260411-125131-1,scale_up_5,success,2026-04-11T12:51:31-04:00,2026-04-11T12:52:55-04:00,84,5,dep-20260411165131-32c8849e,,0,5,scaled up to 5
run20260411-125255-1,scale_down_1,success,2026-04-11T12:52:55-04:00,2026-04-11T12:53:44-04:00,49,1,dep-20260411165255-5ef9bb86,,0,1,scaled down to 1
run20260411-125344-1,kill_and_recover_app3,failed,2026-04-11T12:53:44-04:00,2026-04-11T12:54:55-04:00,71,5,dep-20260411165344-79ae2ff1,rec-20260411165453-ee6e44fc,0,5,killed app3 and recovered
run20260411-125455-2,base_deploy_1,success,2026-04-11T12:54:56-04:00,2026-04-11T12:56:25-04:00,89,1,dep-20260411165456-8f770c5d,,0,1,base deployment to 1 instance
run20260411-125625-2,scale_up_5,success,2026-04-11T12:56:25-04:00,2026-04-11T12:58:53-04:00,148,5,dep-20260411165625-2e47adff,,0,5,scaled up to 5
run20260411-125853-2,scale_down_1,success,2026-04-11T12:58:53-04:00,2026-04-11T13:00:00-04:00,67,1,dep-20260411165854-ffe7f625,,0,1,scaled down to 1
run20260411-130000-2,kill_and_recover_app3,failed,2026-04-11T13:00:00-04:00,2026-04-11T13:01:09-04:00,69,5,dep-20260411170000-e9a0fff3,rec-20260411170107-6de5bea1,0,5,killed app3 and recovered
run20260411-130109-3,base_deploy_1,success,2026-04-11T13:01:09-04:00,2026-04-11T13:02:16-04:00,67,1,dep-20260411170109-390dd09a,,0,1,base deployment to 1 instance
run20260411-130216-3,scale_up_5,success,2026-04-11T13:02:17-04:00,2026-04-11T13:03:32-04:00,75,5,dep-20260411170217-56652e17,,0,5,scaled up to 5
run20260411-130332-3,scale_down_1,success,2026-04-11T13:03:32-04:00,2026-04-11T13:04:33-04:00,61,1,dep-20260411170332-1f0d3e19,,0,1,scaled down to 1
run20260411-130433-3,kill_and_recover_app3,failed,2026-04-11T13:04:33-04:00,2026-04-11T13:05:48-04:00,75,5,dep-20260411170433-5c61c91f,rec-20260411170546-ffb6b2ab,0,5,killed app3 and recovered
